car_company,variant,car_age,km_driven,fuel_type,seller_type,transmission_type,num_of_ownership,mileage,engine,max_power,num_of_seats,selling_price
Maruti,Vitara Brezza VDi,3,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,819999
Maruti,Alto K10 VXI,3,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,390000
Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,8,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7,700000
Mercedes-Benz,Others,7,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5,1450000
Honda,Others,6,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5,425000
Mitsubishi,Others,8,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7,1090000
Honda,Others,6,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5,600000
Maruti,Others,3,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5,850000
Honda,Others,6,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5,525000
Toyota,Innova Crysta 2.8 ZX AT BSIV,5,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7,1650000
Toyota,Innova 2.5 G (Diesel) 7 Seater,5,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7,950000
Audi,Others,8,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5,1750000
Toyota,Others,3,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,1590000
Audi,Others,8,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5,1689999
Mercedes-Benz,Others,8,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,5,1425000
Tata,Others,10,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,265000
Hyundai,i10 Magna,10,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5,190000
Hyundai,i20 Asta 1.4 CRDi,8,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5,425000
Maruti,Swift Dzire ZDI,6,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5,630000
Ford,Figo 1.2P Titanium MT,4,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5,600000
Maruti,Baleno Delta 1.2,2,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,650000
Volkswagen,Others,5,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5,540000
Honda,City i DTEC VX,6,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5,630000
Maruti,Wagon R AMT VXI,3,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,448000
Volkswagen,Ameo 1.5 TDI Comfortline,4,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,500000
Maruti,Vitara Brezza VDi,5,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,745000
Maruti,Others,2,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5,1025000
Hyundai,i10 Magna,10,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,235000
Maruti,Others,5,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5,630000
Maruti,Others,8,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,450000
Maruti,Ertiga ZXI,9,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7,450000
Volkswagen,Vento Diesel Highline,8,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5,450000
Toyota,Innova 2.5 VX (Diesel) 8 Seater,5,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,1200000
Ford,EcoSport 1.5 TDCi Titanium Plus BSIV,6,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,610000
BMW,Others,5,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5,2500000
Maruti,Others,4,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5,484999
Datsun,Others,5,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5,275000
Maruti,Others,5,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,315000
Maruti,Others,5,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,275000
Hyundai,Others,9,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5,290000
Maruti,Others,4,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5,280000
Maruti,Others,11,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5,225000
Volkswagen,Polo 1.2 MPI Comfortline,6,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5,455000
Hyundai,i10 Magna 1.1L,6,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5,351000
Volkswagen,Others,9,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5,535000
Maruti,Others,12,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5,175000
Hyundai,Others,8,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5,525000
Maruti,Swift Dzire LDI,5,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,600000
Hyundai,Others,5,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5,565000
Maruti,Alto LX BSIII,13,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5,120000
Hyundai,i20 1.4 Asta Option,4,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,725000
Maruti,Wagon R VXI,12,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5,185000
Tata,Manza Aura (ABS) Quadrajet,11,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5,200000
Maruti,Swift VXI,2,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,615000
Maruti,Eeco 7 Seater Standard BSIV,5,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,7,270000
Maruti,Others,3,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,610000
Mahindra,Others,7,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8,625000
Ford,Others,1,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5,400000
Hyundai,Others,4,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,866000
Volkswagen,Others,11,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5,700000
Tata,Others,11,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,5,300000
Mahindra,Others,2,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7,1700000
Tata,Indigo CS LS (TDI) BS-III,5,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,375000
Hyundai,Verna 1.6 SX,8,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5,522000
Hyundai,i20 Magna 1.4 CRDi (Diesel),8,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5,451999
Toyota,Others,12,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5,300000
Maruti,Celerio VXI,1,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,475000
Maruti,Vitara Brezza ZDi Plus Dual Tone,5,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,780000
Maruti,Swift Dzire VXI,4,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,595000
Maruti,Wagon R VXI BS IV,4,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,440000
Nissan,Terrano XL 85 PS,7,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5,400000
Hyundai,Creta 1.6 CRDi SX,5,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,1140000
Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,4,76139,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5,850000
Maruti,Swift Dzire VDi,9,175000,Diesel,Individual,Manual,Fourth Owner,19.3,1248,73.9,5,370000
Renault,Others,3,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,350000
Maruti,Celerio VXI,6,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5,360000
Maruti,Alto LXi,13,65000,Petrol,Individual,Manual,Fourth Owner,19.7,796,46.3,5,105000
Maruti,Ertiga VDI,8,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,625000
Hyundai,Santro Xing GLS,12,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5,135000
Maruti,Ertiga VDI,6,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,700000
Honda,Amaze S i-VTEC,2,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,690000
Skoda,Others,3,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5,1864999
MG Hector,Others,2,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5,1750000
Honda,Others,4,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6,5,795000
Toyota,Others,8,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,625000
Maruti,Ciaz ZDi,6,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5,535000
BMW,Others,11,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5,975000
Hyundai,Others,5,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5,805000
Jaguar,XE 2016-2019 2.0L Diesel Prestige,4,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5,2625000
Tata,Others,3,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5,811000
Volkswagen,Others,10,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5,375000
Hyundai,Others,9,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5,550000
Skoda,Rapid 1.6 MPI AT Elegance,5,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,645000
Mercedes-Benz,Others,3,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,5,2550000
Maruti,Ertiga ZXI,7,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7,599000
Mercedes-Benz,Others,4,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5,2700000
Honda,Others,4,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5,875000
Toyota,Others,2,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5,894999
Maruti,Alto K10 VXI,10,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,175000
Maruti,Swift VXI,9,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5,340000
Toyota,Innova Crysta 2.8 ZX AT BSIV,5,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7,1525000
Tata,Others,3,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5,1025000
BMW,Others,5,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5,2150000
Toyota,Camry 2.5 Hybrid,5,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5,1900000
BMW,Others,5,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,5,2900000
Toyota,Others,12,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5,450000
Maruti,Others,5,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7,850000
Volkswagen,Vento Diesel Highline,10,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5,300000
Ford,Others,3,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,575000
Ford,Figo Diesel LXI,10,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,160000
Maruti,Swift VXI Optional,6,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,515000
Maruti,Wagon R AMT VXI,6,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5,390000
Hyundai,i20 Magna 1.2,5,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5,550000
Maruti,Ritz VDi,11,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5,220000
Hyundai,Grand i10 Magna,6,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,425000
Volkswagen,Others,2,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5,480000
Hyundai,Grand i10 Sportz,7,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5,400000
Maruti,Swift Dzire VXI,7,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5,487000
Hyundai,Others,5,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5,386000
Honda,Others,16,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5,100000
Toyota,Corolla Altis Diesel D4DG,11,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5,300000
Mahindra,Others,5,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6,450000
Tata,Others,4,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5,490000
Honda,City 1.5 S MT,12,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,5,345000
Maruti,Zen LXI,16,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5,85000
Maruti,Others,11,120600,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5,215000
Hyundai,Others,11,100000,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,5,320000
Maruti,Swift Dzire VXI,5,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5,459999
Hyundai,Others,16,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,5,65000
Hyundai,Others,1,5000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,720000
Maruti,Ciaz 1.3 Alpha,4,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,800000
Tata,Others,2,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5,520000
Maruti,Ertiga VDI,6,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,580000
Honda,Others,6,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,600000
Honda,Brio S MT,7,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5,290000
Maruti,Wagon R LXI CNG,5,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5,360000
Maruti,Swift Dzire VXI,4,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,550000
Hyundai,i20 Sportz 1.2,8,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5,375000
Maruti,Wagon R AMT VXI,3,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,420000
Maruti,Swift Dzire VXI 1.2,4,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,550000
Maruti,Alto 800 LXI,3,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,270000
Maruti,Others,3,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5,700000
Maruti,Swift VXI Optional,4,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,500000
Tata,Hexa XE,2,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,1250000
Hyundai,i20 Magna,8,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5,320000
Maruti,Swift Dzire VDI,3,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,700000
Maruti,Wagon R VXI BS IV,6,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,290000
Toyota,Corolla Altis 1.8 VL AT,9,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5,550000
Honda,Brio S MT,9,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5,265000
Maruti,Others,3,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,830000
Tata,Safari Storme EX,4,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,800000
Maruti,Alto LXi,10,25000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,160000
Renault,KWID RXT,3,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,335000
Datsun,GO T BSIV,4,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5,329000
Maruti,Vitara Brezza VDi Option,4,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,775000
Hyundai,Others,1,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,524000
Maruti,Alto 800 LXI,6,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,245000
Hyundai,i20 1.2 Sportz,9,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,5,275000
Tata,Zest Revotron 1.2 XT,3,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,520000
Nissan,Others,7,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5,550000
Ford,Others,3,15000,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5,910000
Nissan,Others,6,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5,300000
Maruti,Wagon R LXI Optional,5,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,350000
Mahindra,Others,8,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162.0,7,900000
Mahindra,Others,8,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,7,300000
Maruti,Ritz LDi,11,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5,250000
Hyundai,Others,4,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,1100000
Renault,KWID RXT,5,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,270000
Maruti,Ertiga VDI,6,80000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,640000
Mahindra,XUV500 W4,6,125000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,650000
Maruti,Eeco 5 Seater AC BSIV,4,13500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,409999
Hyundai,Santro Xing GLS,10,75000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,165000
Hyundai,Accent GLE,14,120000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,5,80000
Mahindra,XUV500 W8 2WD,9,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,535000
Toyota,Others,8,70000,Diesel,Individual,Manual,First Owner,12.99,2494,100.57,7,700000
Maruti,Swift Dzire VDI,8,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,550000
Honda,Others,2,15000,Petrol,Individual,Automatic,First Owner,19.0,1199,88.76,5,680000
Hyundai,Others,12,53000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,200000
Maruti,Swift Dzire VDI,7,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5,500000
Maruti,Ertiga SHVS ZDI Plus,5,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,1000000
Hyundai,Others,13,120000,Petrol,Individual,Manual,Second Owner,14.2,1341,82.9,5,110000
Hyundai,Others,9,100000,Petrol,Individual,Manual,Second Owner,18.5,1197,80.0,5,320000
Maruti,Others,6,100000,Petrol,Individual,Manual,First Owner,20.4,1197,83.11,5,350000
Tata,Indica Vista TDI LS,8,162500,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5,170000
Hyundai,i20 2015-2017 Asta 1.4 CRDi,4,39000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,800000
Maruti,Others,4,75000,Diesel,Individual,Manual,First Owner,26.8,1248,74.0,5,500000
Tata,Others,4,50000,Diesel,Individual,Automatic,First Owner,17.6,2179,153.86,7,1380000
Mahindra,Others,2,40000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,8,1300000
Hyundai,Verna 1.6 CRDI,8,92500,Diesel,Individual,Manual,First Owner,22.32,1582,126.3,5,530000
Maruti,Swift Dzire VDI,9,158000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,360000
Maruti,Swift Dzire LDi,9,120000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,310000
Honda,City i DTEC V,6,50000,Diesel,Individual,Manual,Second Owner,26.0,1498,98.6,5,725000
Maruti,Swift Dzire ZDi,9,110000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,340000
Hyundai,Others,4,2000,Diesel,Individual,Manual,Second Owner,25.4,1186,73.97,5,550000
Tata,Others,5,70000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5,380000
Nissan,Others,8,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498,99.6,5,350000
Hyundai,Others,2,2000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,610000
Maruti,Swift Dzire VXI,6,20000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,525000
Toyota,Others,10,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,7,480000
Mahindra,Thar CRDe,4,35000,Diesel,Individual,Manual,First Owner,16.55,2498,105.0,6,780000
Maruti,Swift Dzire ZDi,9,193000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,320000
Maruti,Others,7,80000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,375000
Datsun,Others,2,40000,Petrol,Individual,Manual,First Owner,19.02,1198,67.05,5,300000
Hyundai,i20 Asta 1.4 CRDi,6,70000,Diesel,Individual,Manual,Fourth Owner,22.54,1396,88.73,5,500000
Mahindra,Scorpio LX,10,122358,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9,404000
Tata,Others,6,75000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7,500000
Tata,Others,4,120000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5,350000
Tata,Zest Revotron 1.2 XT,6,40000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,380000
Hyundai,Accent GLE,13,95200,Petrol,Individual,Manual,Third Owner,13.2,1495,94.0,5,114999
Honda,Others,7,33033,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8,5,335000
Hyundai,Grand i10 AT Asta,6,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,5,465000
Tata,Others,9,60000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5,290000
Maruti,Alto LX,16,45000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,110000
Tata,New Safari DICOR 2.2 EX 4x2,10,80000,Diesel,Individual,Manual,Third Owner,11.57,2179,138.1,7,450000
Mahindra,Others,12,170000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7,400000
Mahindra,Others,14,207890,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7,210000
Maruti,Omni E MPI STD BS IV,5,35000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,220000
Hyundai,Grand i10 Sportz,4,35000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,450000
Hyundai,Grand i10 Sportz,4,35000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,450000
Hyundai,Others,8,50000,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,290000
Maruti,Swift VXI Deca,5,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,520000
